material_id,formula_pretty,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,total_magnetization,nsites,density,volume,energy_per_atom,e_total,is_magnetic,space_group_symbol,space_group_number,crystal_system,point_group,ordering,icsd_ids,has_props,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-bpebg,Li2S,-1.421463145025251,0.08199014303030401,False,1.9206999999999992,0.0008897999999990001,33,1.6511715701994891,508.2843531047319,-4.073210960303029,,False,P1,1,Triclinic,1,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': False, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cidye,LiS,-0.8758943804166651,0.3092487225,False,0.0,0.0003073,2,1.9329070331284801,33.509623443692156,-3.89905467,,False,I-4m2,119,Tetragonal,-42m,NM,icsd-25590,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cpeiq,LiS,-0.9732557729166661,0.21188733,False,0.4295,8.36e-05,8,1.624024698020643,159.53202413914588,-3.9964160625,,False,I-42m,121,Tetragonal,-42m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-bwrj,Li2S,-1.42832419411616,0.075129093939395,False,1.875399999999999,8.95e-05,33,1.651171226497652,508.28445890736646,-4.080072009393938,10.060980935381197,False,R3m,160,Trigonal,3m,NM,,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bfseo,Li2S,-1.3284899580555551,0.17496333,False,3.2657,0.0007271,6,1.6057503644312612,95.0294518788338,-3.980237773333333,8.185888453333332,False,P6_3/mmc,194,Hexagonal,6/mmm,NM,,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bsj,Li2S,-1.503453288055556,0.0,True,3.3862,0.0,3,1.673940199901922,45.579160174025624,-4.155201103333334,7.4221406732882365,False,Fm-3m,225,Cubic,m-3m,NM,"icsd-54396,icsd-642291,icsd-60432,icsd-56023,icsd-657596,icsd-657597,icsd-642297","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bwhl,LiS,-0.7548477854166661,0.43029531750000005,False,0.0,0.0575722,2,2.043970927078391,31.68880044902687,-3.778008075,,False,Fm-3m,225,Cubic,m-3m,NM,icsd-182221,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-brh,Li2S,-1.441943999722222,0.061509288333333,False,3.895399999999999,0.0,12,1.7858446366174041,170.8923316814056,-4.0936918150000015,,False,Pnma,62,Orthorhombic,mmm,NM,"icsd-91282,icsd-91284","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-cnbqo,LiS4,-0.24543709558333202,0.21230688803125103,False,2.2075,0.0,10,0.234823623937765,1912.1291026200447,-7.15000816,,False,P1,1,Triclinic,1,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': False, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': False, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-djyzu,LiS4,-0.24543709558333202,0.21230688803125103,False,2.2075,0.0,10,0.234823623609684,1912.1291026200445,-7.15000816,,False,P1,1,Triclinic,1,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': False, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': False, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-ceqmj,LiS4,-0.612184769666665,0.0,True,2.1989,0.0002742,10,0.212291455515833,2115.0784624047956,-4.303887513,1.273836156666666,False,P1,1,Triclinic,1,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': False, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': False, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-cpdss,NaS,0.001794474843749,1.006065086249999,False,0.35339999999999905,0.9999406,2,0.30201104396961004,302.7061328303233,-5.7973144237500005,,True,C2/m,12,Monoclinic,2/m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-sam,NaS2,-0.705851476458332,0.0,True,2.0185,0.0,24,2.162325110475751,535.223051008419,-7.249936484583333,9.30040024,False,I-42d,122,Tetragonal,-42m,NM,"icsd-644957,icsd-2586","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-pt,NaS,-1.001984056406249,0.0022865549999990004,False,0.8685,0.0,12,2.068232806991422,265.2136496908455,-6.801092955,7.425946330229299,False,P-62m,189,Hexagonal,-6m2,NM,"icsd-73180,icsd-43405","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-doi,NaS,-1.00427061140625,0.0,True,1.2348,0.0,8,2.094029042503947,174.63099763463234,-6.80337951,8.226004266698167,False,P6_3/mmc,194,Hexagonal,6/mmm,NM,"icsd-43407,icsd-644958,icsd-73173,icsd-644955","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': True, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-cifil,NaS,-0.629014890156249,0.375255721249999,False,0.0,0.0100287,2,2.324926316591736,39.32193228648598,-6.42812378875,,False,Pm-3m,221,Cubic,m-3m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cifix,NaS,-0.49936464015625004,0.504905971249999,False,0.0,1.0001455,2,1.933627875180506,47.279311787722,-6.298473538750001,,True,Fm-3m,225,Cubic,m-3m,FM,"icsd-26732,icsd-33676,icsd-23693,icsd-182222","{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-mkc,Na2S,-1.1661099059375,0.103134628333332,False,1.681,0.00020349999999900003,6,2.073746214775749,124.98733383116927,-6.220242695,,False,P6_3/mmc,194,Hexagonal,6/mmm,NM,"icsd-92772,icsd-27460","{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-yy,Na2S,-1.269244534270833,0.0,True,2.4399,0.0,3,1.8890808023843082,68.60267970013784,-6.323377323333333,7.035895999008645,False,Fm-3m,225,Cubic,m-3m,NM,"icsd-644962,icsd-656376,icsd-60436,icsd-644959,icsd-56024","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': True, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bppv,Na2S5,-0.607518609508928,0.0,True,1.7772000000000001,0.0,28,2.132525901252682,642.57460262411,-7.364453934642857,,False,Pnma,62,Orthorhombic,mmm,NM,"icsd-644956,icsd-38349","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bfryg,Na2S,-1.234249691770833,0.034994842499999006,False,2.1176,2e-07,12,2.056907850397422,252.0210230878557,-6.288382480833333,,False,Pnma,62,Orthorhombic,mmm,NM,icsd-92771,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-cpeno,KS,-0.086938732447915,1.0125413825,False,0.375999999999999,0.9999984,2,0.299695948181781,394.29775569237836,-7.1130893141666665,,True,C2/m,12,Monoclinic,2/m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cpemn,KS,-0.6849413574479161,0.414538757499999,False,0.0,0.0024054,2,2.321978577305279,50.89170111780906,-7.711091939166667,,False,P4/mmm,123,Tetragonal,4/mmm,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cqbzu,KS3,-0.618411601796874,0.0,True,1.8888999999999991,0.0,32,1.990182734819924,903.0720894865419,-8.14850550625,,False,P2_1/c,14,Monoclinic,2/m,NM,icsd-247958,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-bxn,KS,-1.099480114947915,0.0,True,1.469,0.0,12,1.932581590949447,366.8753970696398,-8.125630696666667,6.410630733284802,False,P-62m,189,Hexagonal,-6m2,NM,"icsd-43406,icsd-73171","{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-cidur,KS,-0.629605572447916,0.46987454249999905,False,0.0,0.9999239,2,2.091007533096517,56.513158316164365,-7.655756154166667,,True,Pm-3m,221,Cubic,m-3m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cifgx,KS,-0.512759862447916,0.586720252499999,False,0.0,0.9999486,2,1.7124554434603931,69.00584783647763,-7.5389104441666674,,True,Fm-3m,225,Cubic,m-3m,FM,"icsd-33677,icsd-182223,icsd-26733","{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
