material_id,formula_pretty,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,total_magnetization,nsites,density,volume,energy_per_atom,e_total,is_magnetic,space_group_symbol,space_group_number,crystal_system,point_group,ordering,icsd_ids,has_props,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma
mp-mnc,NaLiS,-1.36703557407088,0.0,True,2.264199999999999,0.0,6,1.976851617557677,104.15187051878621,-3.829716026666666,10.189343873333334,False,P4/nmm,129,Tetragonal,4/mmm,NM,icsd-61091,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-cqwsu,Na2LiS2,0.021113945781609002,1.268659548500001,False,0.0,1.366705399999999,5,0.392584145263209,495.09638733662007,-2.552318024,,True,P4/mmm,123,Tetragonal,4/mmm,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': False, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-mmg,KLiS,-1.381854906027777,0.0,True,3.0571,0.0,6,2.009905336028247,129.05606955174886,-3.77441834,8.678865783333332,False,P4/nmm,129,Tetragonal,4/mmm,NM,"icsd-290450,icsd-47229","{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': True, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': True, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bpcif,KLiS,-1.33288870436111,0.048966201666666,False,2.7753,1e-07,6,1.924524366187,134.78160494939067,-3.725452138333333,,False,P6_3/mmc,194,Hexagonal,6/mmm,NM,icsd-27465,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-cqyxb,K2LiS2,-0.141794620566665,1.156279515000001,False,0.0,1.7690584,5,0.934295561995865,265.2957921025841,-2.631086168,,True,P4/mmm,123,Tetragonal,4/mmm,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': False}",,,,,,
mp-bwzyk,Li4TiS4,-1.535564807962962,0.011638242500000002,False,2.4742,0.0,9,1.843861351510879,183.6195387200418,-5.100095289444444,7.032234809999998,False,I-42m,121,Tetragonal,-42m,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': True, 'dielectric': True, 'piezoelectric': True, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': True, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-brpzx,Li4TiS4,-1.488464308518518,0.05873874194444301,False,1.9747000000000001,0.0002904,36,2.036372946895927,665.0431520301349,-5.05299479,,False,P2_1/c,14,Monoclinic,2/m,NM,,"{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bqxug,Li8TiS6,-1.492056632333332,0.037646513166663,False,0.0,0.005585499999999,15,2.057731828864254,238.69123319406177,-4.691474047333333,,False,R-3,148,Trigonal,-3,NM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-bqwqr,Li3TiS3,-1.519040516547618,0.083654992857143,False,0.0,0.5378086,14,2.413873760982627,226.85360636662682,-5.238248195714285,,True,C2/c,15,Monoclinic,2/m,FM,,"{'materials': True, 'thermo': True, 'xas': False, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': False, 'dos': False, 'magnetism': True, 'elasticity': False, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': False, 'substrates': True}",,,,,,
mp-ofv,LiTiS2,-1.677127175416665,0.0,True,0.0,0.0005551,4,3.12407224925199,63.21915107775093,-6.1969297525,,False,P-3m1,164,Trigonal,-3m,NM,"icsd-200709,icsd-642322","{'materials': True, 'thermo': True, 'xas': True, 'grain_boundaries': False, 'chemenv': True, 'electronic_structure': True, 'absorption': False, 'bandstructure': True, 'dos': True, 'magnetism': True, 'elasticity': True, 'dielectric': False, 'piezoelectric': False, 'surface_properties': False, 'oxi_states': True, 'provenance': True, 'charge_density': True, 'eos': False, 'phonon': False, 'insertion_electrodes': True, 'substrates': True}",,,,,,
